dev_id,sprint_id,completion_time,defects,velocity_contribution,blocked_tasks,reopened_tasks
D35,25,6.18,1,7.67,0,0
D12,25,4.13,0,9.85,0,0
D13,25,4.04,0,8.89,0,0
D14,25,3.11,0,9.42,0,0
D31,25,4.55,0,5.21,1,0
D18,25,3.94,0,6.95,1,0
D38,25,6.07,3,7.9,0,0
D34,25,1.23,4,9.05,1,0
D39,25,2.81,0,8.33,0,0
D19,25,1.52,1,9.11,0,0
D7,25,3.11,1,10.85,0,0
D13,25,2.69,2,11.0,0,0
D19,25,2.73,0,11.09,0,0
D15,25,3.13,2,11.36,0,0
D24,25,1.54,2,10.14,1,0
D12,25,2.93,0,10.55,1,0
D20,25,3.99,1,7.85,0,0
D1,25,3.6,1,8.81,0,0
